Serial,Id_Unico,Equipo,Marca,Modelo,Servicio,Nueva_Ubicacion,Fuentes
21397408,21397408.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,CARDIOLOGÍA,HOSPITALIZACIÓN PEDIÁTRICA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21397410,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397411,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397412,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397414,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397415,21397415.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS 5° PISO,HOSPITALIZACIÓN PEDIÁTRICA,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST, INV_2025"
21397416,21397416.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21397419,21397419.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN PEDIATRÍA (Ruta Dorada),HOSPITALIZACIÓN ADULTOS EXPANSIÓN,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21397422,21397422.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS 5° PISO,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21397424,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
