Id_Unico,Equipo,Marca,Modelo,Servicio,Ubicacion,Nueva_Ubicacion,Fuentes,Serial
18442277,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,18442277
17950509,BOMBA DE INFUSIÓN,ICU MEDICAL,Plum A+ Wireless ,HOSPITALIZACIÓN ADULTOS 5° PISO,,,"INV_2025, BOMBAS_2026",17950509
18447612,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,18447612
18446004,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,18446004
21397631,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,IMÁGENES DIAGNOSTICAS,,,"INV_2025, BOMBAS_2026",21397631
43789,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN GINECO-OBSTETRICIA,Cubiculo 33,,INV_2025,AF17102009
43790,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN GINECO-OBSTETRICIA,Cubiculo 34,,INV_2025,AF17102010
43238,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN QUIRÚRGICAS,Cubiculo 35,,INV_2025,AF17101023
43415,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,AF17107023
43417,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,AF17107021
43613,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,AF17107029
43683,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,AF17107020
43685,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,AF17107018
43686,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,AF17107019
46722,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,AF19218057
46911,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,AF19218061
43416,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,AF17107024
43615,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,AF17107027
43688,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,AF17107017
43792,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,AF17102008
46749,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,AF19206036
46757,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,AF19206064
46905,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,AF19218082
43718,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,CUIDADO INTERMEDIO PEDIÁTRICO,Cuidado Intensivo Pediatrico,,INV_2025,AF17102002
43863,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,CUIDADO INTERMEDIO PEDIÁTRICO,Cuidado Intensivo Pediatrico,,INV_2025,AF17101029
43865,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,CUIDADO INTERMEDIO PEDIÁTRICO,Cuidado Intensivo Pediatrico,,INV_2025,AF17101027
43868,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,CUIDADO INTERMEDIO PEDIÁTRICO,Cuidado Intensivo Pediatrico,,INV_2025,AF17101026
42387,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN ADULTOS 4° PISO,,,INV_2025,AF17201032
43413,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN ADULTOS 4° PISO,,,INV_2025,AF17107025
43614,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN ADULTOS 4° PISO,,,INV_2025,AF17107030
43791,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN ADULTOS 4° PISO,,,INV_2025,AF17102007
46767,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN ADULTOS 4° PISO,,,INV_2025,AF19206024
,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN ADULTOS 4° PISO,,,INV_2025,AF19217020
46902,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN ADULTOS 4° PISO,,,INV_2025,AF19218080
46913,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN ADULTOS 4° PISO,,,INV_2025,AF19218062
51341,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN ADULTOS 4° PISO,,,INV_2025,AF22333334
51342,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN ADULTOS 4° PISO,,,INV_2025,AF22333335
43715,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN PEDIATRÍA,,,INV_2025,AF17102003
43717,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN PEDIATRÍA,,,INV_2025,AF17102001
51350,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN PEDIATRÍA,,,INV_2025,AF22333343
51337,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,AF22333330
51338,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,AF22333331
51339,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,AF22333332
51340,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,AF22333333
51343,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,AF22333336
51344,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,HOSPITALIZACIÓN ADULTOS 5° PISO,,,INV_2025,AF22333337
51351,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,CUIDADO INTENSIVO PEDIÁTRICO,Cuidado Intensivo Pediatrico,,INV_2025,AF22333344
42722,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,CUIDADO INTENSIVO PEDIÁTRICO,Cuidado Intermedio Pediatrico,,INV_2025,AF17117068
43616,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,CUIDADO INTENSIVO PEDIÁTRICO,Cuidado Intermedio Pediatrico,,INV_2025,AF17107028
43866,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,CUIDADO INTENSIVO PEDIÁTRICO,Cuidado Intermedio Pediatrico,,INV_2025,AF17101028
46330,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,URGENCIAS ADULTOS,,,INV_2025,AF19214030
46904,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,URGENCIAS ADULTOS,,,INV_2025,AF19218081
46919,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,URGENCIAS ADULTOS,,,INV_2025,AF19218065
51345,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,URGENCIAS ADULTOS,,,INV_2025,AF22333338
51346,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,URGENCIAS ADULTOS,,,INV_2025,AF22333339
51347,BOMBA DE NUTRICIÓN,ICU MEDICAL,FREEGOO,URGENCIAS ADULTOS,,,INV_2025,AF22333340
,,ICU MEDICAL,,,,,PTES_MTO_2026,50400878.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,21436906
,,ICU MEDICAL,,,,,PTES_MTO_2026,50401056.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,50400783
,,ICU MEDICAL,,,,,PTES_MTO_2026,50400952.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,50400831
,,ICU MEDICAL,,,,,PTES_MTO_2026,50400908.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,50400905
,,ICU MEDICAL,,,,,PTES_MTO_2026,50400662.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,50400944
,,ICU MEDICAL,,,,,PTES_MTO_2026,50400938.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,50400957
,,ICU MEDICAL,,,,,PTES_MTO_2026,50400987.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,50400981
,,ICU MEDICAL,,,,,PTES_MTO_2026,50400916.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,50401068
,,ICU MEDICAL,,,,,PTES_MTO_2026,50400898.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,50401025
,,ICU MEDICAL,,,,,PTES_MTO_2026,50400741.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,50401054
,,ICU MEDICAL,,,,,PTES_MTO_2026,50401023.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,50400958
,,ICU MEDICAL,,,,,PTES_MTO_2026,50400947.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,50401011
,,ICU MEDICAL,,,,,PTES_MTO_2026,50400985.0
,,ICU MEDICAL,Plum A+,,,,BOMBAS_2026,17952171
,,ICU MEDICAL,,,,,PTES_MTO_2026,50400816.0
,,ICU MEDICAL,,,,,PTES_MTO_2026,50401013.0
,,ICU MEDICAL,Plum A+,,,,BOMBAS_2026,21397538
,,ICU MEDICAL,,,,,PTES_MTO_2026,50400988.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,21437531
,,ICU MEDICAL,,,,,PTES_MTO_2026,50400945.0
,,ICU MEDICAL,,,,,PTES_MTO_2026,50400830.0
,,ICU MEDICAL,Plum 360,,,,BOMBAS_2026,41408393
,,ICU MEDICAL,,,,,PTES_MTO_2026,50400917.0
,,ICU MEDICAL,Plum A+,,,,BOMBAS_2026,21397367
,,ICU MEDICAL,,,,,PTES_MTO_2026,50400717.0
,,ICU MEDICAL,Plum A+,,,,BOMBAS_2026,21397407
,,ICU MEDICAL,,,,,PTES_MTO_2026,50400707.0
,,ICU MEDICAL,Plum A+,,,,BOMBAS_2026,21397473
,,ICU MEDICAL,,,,,PTES_MTO_2026,50400918.0
,,ICU MEDICAL,Plum A+,,,,BOMBAS_2026,21397856
,,ICU MEDICAL,,,,,PTES_MTO_2026,41408377.0
